"X.40.","X.Standard.","X.0.385416666666667.","X.0.425287356321839.","X.74.","X.100.","X.118.","X.1058."
"40","Standard","0.385416666666667","0.425287356321839","74","100","118","1058"
"40","Old","0.1875","0.272727272727273","36","96","156","1062"
