X.120.,X.Standard.,X.0.607449856733524.,X.0.803030303030303.,X.212.,X.52.,X.137.,X.949.
120,Standard,0.607449857,0.803030303,212,52,137,949
120,PCA,0.421203438,0.746192893,147,50,202,951
120,DBSCAN,0.666666667,0.677595628,124,59,62,1105
