X.80.,X.Standard.,X.0.676.,X.0.647509578544061.,X.169.,X.92.,X.81.,X.1008.
80,Standard,0.676,0.647509579,169,92,81,1008
80,PCA,0.313793103,0.614864865,91,57,199,1003
80,DBSCAN,0.210344828,0.564814815,61,47,229,1013
