"X.200.","X.Standard.","X.0.965189873417722.","X.0.837912087912088.","X.305.","X.59.","X.11.","X.975."
"200","Standard","0.965189873417722","0.837912087912088","305","59","11","975"
"200","Old","0.990506329113924","0.869444444444444","313","47","3","987"
