"X.160.","X.Standard.","X.0.893992932862191.","X.0.826797385620915.","X.253.","X.53.","X.30.","X.1014."
"160","Standard","0.893992932862191","0.826797385620915","253","53","30","1014"
"160","Old","0.752650176678445","0.717171717171717","213","84","70","983"
